Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DaftarAkun,,,2019-04-01 02:57:41,2019-04-01 02:59:51,2m - 9.590s,PASSED
,,,,,,
Test Cases/Dashboard/Login/Login_DaftarAkun,,,2019-04-01 02:57:42,2019-04-01 02:58:18,36.887s,PASSED
"appPath = relativeToAbsolutePath(apkname, getProjectDir())",,required for PathUtil to get the current app path,2019-04-01 02:57:42,2019-04-01 02:57:42,0.105s,PASSED
"startApplication(appPath, false)",,,2019-04-01 02:57:42,2019-04-01 02:57:54,11.870s,PASSED
"tap(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-04-01 02:57:54,2019-04-01 02:58:03,9.037s,PASSED
"tap(findTestObject(""Dashboard/Login/Daftar/Login_MenuDaftar""), 0)",,,2019-04-01 02:58:03,2019-04-01 02:58:05,2.052s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpNamaSesuaiKTP""), varName, 0)",,,2019-04-01 02:58:05,2019-04-01 02:58:05,0.500s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpEmail""), varEmail, 0)",,,2019-04-01 02:58:05,2019-04-01 02:58:07,1.275s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpNomorHandphone""), varHandphone, 0)",,,2019-04-01 02:58:07,2019-04-01 02:58:08,1.300s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpPassword""), varPassword, 0, STOP_ON_FAILURE)",,,2019-04-01 02:58:08,2019-04-01 02:58:09,1.250s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpKonfirmasiPassword""), varConfirmPassword, 0)",,,2019-04-01 02:58:09,2019-04-01 02:58:11,1.282s,PASSED
"tap(findTestObject(""Dashboard/Login/Daftar/Daftar_BtnSubmitDaftar""), 0)",,,2019-04-01 02:58:11,2019-04-01 02:58:12,1.863s,PASSED
switch (varExpectedResult.toString()),,,2019-04-01 02:58:12,2019-04-01 02:58:15,3.046s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-04-01 02:58:15,2019-04-01 02:58:18,3.014s,PASSED
closeApplication(),,,2019-04-01 02:58:18,2019-04-01 02:58:18,0.001s,NOT_RUN
,,,,,,
Test Cases/Dashboard/Login/Login_DaftarAkun,,,2019-04-01 02:58:18,2019-04-01 02:58:51,32.574s,PASSED
"appPath = relativeToAbsolutePath(apkname, getProjectDir())",,required for PathUtil to get the current app path,2019-04-01 02:58:18,2019-04-01 02:58:18,0.001s,PASSED
"startApplication(appPath, false)",,,2019-04-01 02:58:18,2019-04-01 02:58:28,9.729s,PASSED
"tap(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-04-01 02:58:28,2019-04-01 02:58:36,8.186s,PASSED
"tap(findTestObject(""Dashboard/Login/Daftar/Login_MenuDaftar""), 0)",,,2019-04-01 02:58:36,2019-04-01 02:58:38,1.953s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpNamaSesuaiKTP""), varName, 0)",,,2019-04-01 02:58:38,2019-04-01 02:58:39,0.519s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpEmail""), varEmail, 0)",,,2019-04-01 02:58:39,2019-04-01 02:58:40,1.311s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpNomorHandphone""), varHandphone, 0)",,,2019-04-01 02:58:40,2019-04-01 02:58:41,1.305s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpPassword""), varPassword, 0, STOP_ON_FAILURE)",,,2019-04-01 02:58:41,2019-04-01 02:58:43,1.254s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpKonfirmasiPassword""), varConfirmPassword, 0)",,,2019-04-01 02:58:43,2019-04-01 02:58:44,1.446s,PASSED
"tap(findTestObject(""Dashboard/Login/Daftar/Daftar_BtnSubmitDaftar""), 0)",,,2019-04-01 02:58:44,2019-04-01 02:58:48,3.766s,PASSED
switch (varExpectedResult.toString()),,,2019-04-01 02:58:48,2019-04-01 02:58:48,0.085s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-04-01 02:58:48,2019-04-01 02:58:51,3.007s,PASSED
closeApplication(),,,2019-04-01 02:58:51,2019-04-01 02:58:51,0.001s,NOT_RUN
,,,,,,
Test Cases/Dashboard/Login/Login_DaftarAkun,,,2019-04-01 02:58:51,2019-04-01 02:59:20,28.582s,PASSED
"appPath = relativeToAbsolutePath(apkname, getProjectDir())",,required for PathUtil to get the current app path,2019-04-01 02:58:51,2019-04-01 02:58:51,0.001s,PASSED
"startApplication(appPath, false)",,,2019-04-01 02:58:51,2019-04-01 02:59:00,9.465s,PASSED
"tap(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-04-01 02:59:00,2019-04-01 02:59:08,7.144s,PASSED
"tap(findTestObject(""Dashboard/Login/Daftar/Login_MenuDaftar""), 0)",,,2019-04-01 02:59:08,2019-04-01 02:59:10,2.832s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpNamaSesuaiKTP""), varName, 0)",,,2019-04-01 02:59:10,2019-04-01 02:59:11,0.558s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpEmail""), varEmail, 0)",,,2019-04-01 02:59:11,2019-04-01 02:59:12,1.323s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpNomorHandphone""), varHandphone, 0)",,,2019-04-01 02:59:12,2019-04-01 02:59:13,0.446s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpPassword""), varPassword, 0, STOP_ON_FAILURE)",,,2019-04-01 02:59:13,2019-04-01 02:59:14,1.285s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpKonfirmasiPassword""), varConfirmPassword, 0)",,,2019-04-01 02:59:14,2019-04-01 02:59:16,1.546s,PASSED
"tap(findTestObject(""Dashboard/Login/Daftar/Daftar_BtnSubmitDaftar""), 0)",,,2019-04-01 02:59:16,2019-04-01 02:59:17,0.895s,PASSED
switch (varExpectedResult.toString()),,,2019-04-01 02:59:17,2019-04-01 02:59:17,0.068s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-04-01 02:59:17,2019-04-01 02:59:20,3.006s,PASSED
closeApplication(),,,2019-04-01 02:59:20,2019-04-01 02:59:20,0.000s,NOT_RUN
,,,,,,
Test Cases/Dashboard/Login/Login_DaftarAkun,,,2019-04-01 02:59:20,2019-04-01 02:59:51,31.175s,PASSED
"appPath = relativeToAbsolutePath(apkname, getProjectDir())",,required for PathUtil to get the current app path,2019-04-01 02:59:20,2019-04-01 02:59:20,0.000s,PASSED
"startApplication(appPath, false)",,,2019-04-01 02:59:20,2019-04-01 02:59:28,8.880s,PASSED
"tap(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-04-01 02:59:28,2019-04-01 02:59:35,6.987s,PASSED
"tap(findTestObject(""Dashboard/Login/Daftar/Login_MenuDaftar""), 0)",,,2019-04-01 02:59:35,2019-04-01 02:59:38,3.001s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpNamaSesuaiKTP""), varName, 0)",,,2019-04-01 02:59:38,2019-04-01 02:59:39,0.533s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpEmail""), varEmail, 0)",,,2019-04-01 02:59:39,2019-04-01 02:59:40,1.245s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpNomorHandphone""), varHandphone, 0)",,,2019-04-01 02:59:40,2019-04-01 02:59:42,1.248s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpPassword""), varPassword, 0, STOP_ON_FAILURE)",,,2019-04-01 02:59:42,2019-04-01 02:59:43,1.274s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpKonfirmasiPassword""), varConfirmPassword, 0)",,,2019-04-01 02:59:43,2019-04-01 02:59:44,1.443s,PASSED
"tap(findTestObject(""Dashboard/Login/Daftar/Daftar_BtnSubmitDaftar""), 0)",,,2019-04-01 02:59:44,2019-04-01 02:59:48,3.546s,PASSED
switch (varExpectedResult.toString()),,,2019-04-01 02:59:48,2019-04-01 02:59:48,0.000s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-04-01 02:59:48,2019-04-01 02:59:51,3.005s,PASSED
closeApplication(),,,2019-04-01 02:59:51,2019-04-01 02:59:51,0.001s,NOT_RUN
