Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"setText(findTestObject(""Dashboard/Login/Login_InpEmail""), varUsername, 0)",,,2019-03-28 13:13:15,2019-03-28 13:13:17,2.040s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpPassword""), varPassword, 0)",,,2019-03-28 13:13:17,2019-03-28 13:13:19,1.700s,PASSED
"tap(findTestObject(""Dashboard/Login/Login_BtnMasuk""), 0)",,,2019-03-28 13:13:19,2019-03-28 13:13:21,2.709s,PASSED
switch (varExpectedResult.toString()),,,2019-03-28 13:13:21,2019-03-28 13:13:22,0.642s,PASSED
closeApplication(),,,2019-03-28 13:13:22,2019-03-28 13:13:25,2.461s,PASSED
,,,,,,
Test Cases/Dashboard/Login/Login,,,2019-03-28 13:13:25,2019-03-28 13:14:45,1m - 20.146s,PASSED
"startApplication(""C:\Users\IT-Services\Katalon Studio\ACCONE Mobile\accone tst env 24 maret 2019.apk"", false)",,,2019-03-28 13:13:25,2019-03-28 13:14:28,1m - 3.708s,PASSED
"tap(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-03-28 13:14:28,2019-03-28 13:14:35,6.879s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpEmail""), varUsername, 0)",,,2019-03-28 13:14:35,2019-03-28 13:14:37,2.045s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpPassword""), varPassword, 0)",,,2019-03-28 13:14:37,2019-03-28 13:14:39,1.737s,PASSED
"tap(findTestObject(""Dashboard/Login/Login_BtnMasuk""), 0)",,,2019-03-28 13:14:39,2019-03-28 13:14:42,2.790s,PASSED
switch (varExpectedResult.toString()),,,2019-03-28 13:14:42,2019-03-28 13:14:42,0.637s,PASSED
closeApplication(),,,2019-03-28 13:14:42,2019-03-28 13:14:45,2.326s,PASSED
,,,,,,
Test Cases/Dashboard/Login/Login,,,2019-03-28 13:14:45,2019-03-28 13:16:03,1m - 18.227s,PASSED
"startApplication(""C:\Users\IT-Services\Katalon Studio\ACCONE Mobile\accone tst env 24 maret 2019.apk"", false)",,,2019-03-28 13:14:45,2019-03-28 13:15:47,1m - 2.331s,PASSED
"tap(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-03-28 13:15:47,2019-03-28 13:15:54,6.738s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpEmail""), varUsername, 0)",,,2019-03-28 13:15:54,2019-03-28 13:15:56,1.903s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpPassword""), varPassword, 0)",,,2019-03-28 13:15:56,2019-03-28 13:15:57,1.683s,PASSED
"tap(findTestObject(""Dashboard/Login/Login_BtnMasuk""), 0)",,,2019-03-28 13:15:57,2019-03-28 13:16:00,2.683s,PASSED
switch (varExpectedResult.toString()),,,2019-03-28 13:16:00,2019-03-28 13:16:01,0.623s,PASSED
closeApplication(),,,2019-03-28 13:16:01,2019-03-28 13:16:03,2.233s,PASSED
,,,,,,
Test Cases/Dashboard/Login/Login,,,2019-03-28 13:16:03,2019-03-28 13:18:26,2m - 22.755s,FAILED
"startApplication(""C:\Users\IT-Services\Katalon Studio\ACCONE Mobile\accone tst env 24 maret 2019.apk"", false)",,,2019-03-28 13:16:03,2019-03-28 13:17:07,1m - 4.119s,PASSED
"tap(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-03-28 13:17:07,2019-03-28 13:17:15,8.073s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpEmail""), varUsername, 0)",,,2019-03-28 13:17:15,2019-03-28 13:17:16,1.032s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpPassword""), varPassword, 0)",,,2019-03-28 13:17:16,2019-03-28 13:17:18,1.695s,PASSED
"tap(findTestObject(""Dashboard/Login/Login_BtnMasuk""), 0)",,,2019-03-28 13:17:18,2019-03-28 13:17:21,2.695s,PASSED
switch (varExpectedResult.toString()),,,2019-03-28 13:17:21,2019-03-28 13:18:26,1m - 5.108s,FAILED
,,,,,,
Test Cases/Dashboard/Login/Login,,,2019-03-28 13:18:26,2019-03-28 13:20:06,1m - 40.449s,PASSED
"startApplication(""C:\Users\IT-Services\Katalon Studio\ACCONE Mobile\accone tst env 24 maret 2019.apk"", false)",,,2019-03-28 13:18:26,2019-03-28 13:19:22,56.462s,PASSED
"tap(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-03-28 13:19:22,2019-03-28 13:19:29,7.142s,PASSED
