Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"appPath = relativeToAbsolutePath(apkname, getProjectDir())",,required for PathUtil to get the current app path,2019-04-01 02:42:12,2019-04-01 02:42:12,0.001s,PASSED
"startApplication(appPath, false)",,,2019-04-01 02:42:12,2019-04-01 02:42:22,10.507s,PASSED
"tap(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-04-01 02:42:22,2019-04-01 02:42:29,6.827s,PASSED
"tap(findTestObject(""Dashboard/Login/Daftar/Login_MenuDaftar""), 0)",,,2019-04-01 02:42:29,2019-04-01 02:42:31,1.843s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpNamaSesuaiKTP""), varName, 0)",,,2019-04-01 02:42:31,2019-04-01 02:42:31,0.601s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpEmail""), varEmail, 0)",,,2019-04-01 02:42:31,2019-04-01 02:42:33,1.205s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpNomorHandphone""), varHandphone, 0)",,,2019-04-01 02:42:33,2019-04-01 02:42:34,1.251s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpPassword""), varPassword, 0, STOP_ON_FAILURE)",,,2019-04-01 02:42:34,2019-04-01 02:42:35,1.222s,PASSED
"setText(findTestObject(""Dashboard/Login/Daftar/Daftar_InpKonfirmasiPassword""), varConfirmPassword, 0)",,,2019-04-01 02:42:35,2019-04-01 02:42:36,1.408s,PASSED
"tap(findTestObject(""Dashboard/Login/Daftar/Daftar_BtnSubmitDaftar""), 0)",,,2019-04-01 02:42:36,2019-04-01 02:42:40,3.724s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-04-01 02:42:40,2019-04-01 02:42:43,3.010s,PASSED
closeApplication(),,,2019-04-01 02:42:43,2019-04-01 02:42:43,0.164s,PASSED
