Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,,,2019-03-31 19:04:39,2019-03-31 19:13:54,9m - 14.594s,FAILED
,,,,,,
Test Cases/Dashboard/Login/Login,,,2019-03-31 19:04:39,2019-03-31 19:05:16,36.202s,PASSED
"appPath = relativeToAbsolutePath(apkname, getProjectDir())",,required for PathUtil to get the current app path,2019-03-31 19:04:40,2019-03-31 19:04:40,0.064s,PASSED
"startApplication(appPath, false)",,,2019-03-31 19:04:40,2019-03-31 19:04:52,12.168s,PASSED
"waitForElementPresent(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-03-31 19:04:52,2019-03-31 19:04:58,5.851s,PASSED
"tap(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-03-31 19:04:58,2019-03-31 19:04:59,1.001s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpEmail""), varUsername, 0)",,,2019-03-31 19:04:59,2019-03-31 19:05:00,1.277s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpPassword""), varPassword, 0)",,,2019-03-31 19:05:00,2019-03-31 19:05:01,1.372s,PASSED
"tap(findTestObject(""Dashboard/Login/Login_BtnMasuk""), 0)",,,2019-03-31 19:05:01,2019-03-31 19:05:05,3.958s,PASSED
switch (varExpectedResult.toString()),,,2019-03-31 19:05:05,2019-03-31 19:05:10,5.044s,PASSED
"delay(5, STOP_ON_FAILURE)",,,2019-03-31 19:05:10,2019-03-31 19:05:15,5.016s,PASSED
closeApplication(),,,2019-03-31 19:05:15,2019-03-31 19:05:16,0.138s,PASSED
,,,,,,
Test Cases/Dashboard/Login/Login,,,2019-03-31 19:05:16,2019-03-31 19:06:41,1m - 25.656s,FAILED
"appPath = relativeToAbsolutePath(apkname, getProjectDir())",,required for PathUtil to get the current app path,2019-03-31 19:05:16,2019-03-31 19:05:16,0.001s,PASSED
"startApplication(appPath, false)",,,2019-03-31 19:05:16,2019-03-31 19:05:26,10.524s,PASSED
"waitForElementPresent(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-03-31 19:05:26,2019-03-31 19:05:32,5.844s,PASSED
"tap(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-03-31 19:05:32,2019-03-31 19:05:34,1.945s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpEmail""), varUsername, 0)",,,2019-03-31 19:05:34,2019-03-31 19:05:34,0.450s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpPassword""), varPassword, 0)",,,2019-03-31 19:05:34,2019-03-31 19:05:36,1.206s,PASSED
"tap(findTestObject(""Dashboard/Login/Login_BtnMasuk""), 0)",,,2019-03-31 19:05:36,2019-03-31 19:05:39,3.594s,PASSED
switch (varExpectedResult.toString()),,,2019-03-31 19:05:39,2019-03-31 19:06:41,1m - 2.071s,FAILED
,,,,,,
Test Cases/Dashboard/Login/Login,,,2019-03-31 19:06:41,2019-03-31 19:07:06,25.154s,PASSED
"appPath = relativeToAbsolutePath(apkname, getProjectDir())",,required for PathUtil to get the current app path,2019-03-31 19:06:41,2019-03-31 19:06:41,0.001s,PASSED
"startApplication(appPath, false)",,,2019-03-31 19:06:41,2019-03-31 19:06:50,9.196s,PASSED
"waitForElementPresent(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-03-31 19:06:50,2019-03-31 19:06:57,6.230s,PASSED
"tap(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-03-31 19:06:57,2019-03-31 19:06:59,2.037s,PASSED
